  PID TTY      STAT   TIME COMMAND
  555 ?        Ss     0:00 postgres: stats collector process          
  585 ?        Ssl    0:00 /usr/lib/colord/colord
  586 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
  602 ?        Ss     0:00 /usr/lib/systemd/systemd-localed
  634 ?        Ssl    0:03 /usr/lib/udisks2/udisksd --no-debug
  707 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
  710 ?        Ss     0:00 /usr/lib/systemd/systemd --user
  711 ?        S      0:00 (sd-pam)  
  715 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
  718 ?        Ssl    0:00 gnome-session
  732 ?        S      0:00 dbus-launch --sh-syntax --exit-with-session
  733 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 4 --print-address 6 --session
  736 ?        Ss     0:00 /usr/bin/ssh-agent -- gnome-session
  739 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
  743 ?        S      0:03 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
  746 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
  755 ?        Sl     0:01 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
  769 ?        Sl     0:54 /usr/bin/pulseaudio --start
  774 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
  780 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
  788 ?        S      0:00 /usr/lib/pulse/gconf-helper
  790 ?        S      0:00 /usr/lib/GConf/gconfd-2
  794 ?        Sl     9:18 /usr/bin/gnome-shell
  795 ?        S      0:04 syndaemon -i 1.0 -t -K -R
  797 ?        Ss     0:00 /usr/bin/cupsd -f
  805 ?        Sl     0:00 /usr/lib/gnome-settings-daemon/gsd-printer
  816 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
  822 ?        Sl     0:00 /usr/lib/evolution-data-server/evolution-source-registry
  827 ?        Sl     0:03 /usr/lib/gnome-online-accounts/goa-daemon
  833 ?        Sl     0:01 /usr/lib/telepathy/mission-control-5
  841 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
  846 ?        Sl     0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
  850 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
  854 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
  858 ?        Sl     0:00 /usr/lib/deja-dup/deja-dup/deja-dup-monitor
  859 ?        Sl     0:03 nm-applet
  861 ?        Sl     0:00 /usr/lib/evolution/3.12/evolution-alarm-notify
  863 ?        Sl     0:02 nautilus -n
  866 ?        Sl     0:00 zeitgeist-datahub
  867 ?        Sl     0:03 /usr/bin/python2 /usr/bin/guake
  868 ?        Sl     0:06 QNetSoul
  875 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
  881 ?        SNl    0:01 /usr/lib/tracker/tracker-miner-fs
  886 ?        SNl    0:00 /usr/lib/tracker/tracker-extract
  888 ?        Sl     0:00 /usr/bin/python2 /usr/share/system-config-printer/applet.py
  891 ?        Sl     0:02 /usr/lib/tracker/tracker-store
  907 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
  918 ?        Sl     0:00 /usr/lib/evolution-data-server/evolution-calendar-factory
  974 ?        Sl     0:00 /usr/lib/dconf/dconf-service
  982 ?        S      0:00 gnome-pty-helper
  983 pts/0    Ss+    0:00 /bin/bash
  987 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
 1001 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 1074 ?        Sl     0:00 /usr/bin/python2 /usr/bin/terminator
 1080 ?        S      0:00 gnome-pty-helper
 1081 pts/1    Ss+    0:00 /bin/bash
 1150 ?        Sl     0:00 /usr/bin/python2 /usr/bin/terminator
 1156 ?        S      0:00 gnome-pty-helper
 1157 pts/2    Ss+    0:00 /bin/bash
 1233 pts/0    Sl     0:00 /usr/bin/python2 /usr/bin/terminator
 1244 pts/0    S      0:00 gnome-pty-helper
 1245 pts/3    Ss+    0:00 /bin/bash
 1451 ?        SLl    5:16 /opt/google/chrome-unstable/chrome --user-data-dir=/home/tovazm/.config/google-chrome-unstable
 1459 ?        S      0:23 /opt/google/chrome-unstable/chrome --user-data-dir=/home/tovazm/.config/google-chrome-unstable --type=sandbox-ipc
 1460 ?        S      0:00 /opt/google/chrome-unstable/chrome-sandbox /opt/google/chrome-unstable/chrome --type=zygote --user-data-dir=/home/tovazm/.config/google-chrome-unstable
 1461 ?        S      0:00 /opt/google/chrome-unstable/chrome --type=zygote --user-data-dir=/home/tovazm/.config/google-chrome-unstable
 1465 ?        S      0:00 /opt/google/chrome-unstable/nacl_helper
 1466 ?        S      0:00 /opt/google/chrome-unstable/chrome --type=zygote --user-data-dir=/home/tovazm/.config/google-chrome-unstable
 1486 ?        Sl     2:31 /opt/google/chrome-unstable/chrome --type=gpu-process --channel=1451.0.1442879082 --user-data-dir=/home/tovazm/.config/google-chrome-unstable --supports-dual-gpus=false --gpu-driver-bug-workarounds=1,13,20 --disable-accelerated-video-decode --gpu-vendor-id=0x1002 --gpu-device-id=0x6841 --gpu-driver-vendor --gpu-driver-version --user-data-dir=/home/tovazm/.config/google-chrome-unstable
 1513 ?        Sl     0:51 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --extension-process --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.2.1689319315
