  PID TTY      STAT   TIME COMMAND
 1528 ?        Sl     1:13 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --extension-process --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.3.2082983617
 1533 ?        Sl     0:00 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --extension-process --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.4.243705612
 2076 ?        Sl     1:20 /usr/bin/python2 /usr/bin/terminator
 2082 ?        S      0:00 gnome-pty-helper
 2083 pts/5    Ss+    0:02 /bin/bash
 9160 ?        S      0:01 [kworker/7:1]
10818 ?        S      0:00 [irq/48-mei_me]
10888 ?        S<     0:00 [kworker/u17:0]
10889 ?        S<     0:00 [hci0]
10890 ?        S<     0:00 [hci0]
